종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"069110","3H","KOSDAQ",,"1020","25","2.51","1010","1070","970","224933","228388545","9119922000","8941100"
"060310","3S","KOSDAQ",,"1175","145","14.08","1005","1175","1005","981084","1112843035","34493832275","29356453"
"900010","3노드디지탈","KOSDAQ",,"2125","5","0.24","2120","2160","2115","186693","397169910","102000000000","48000000"
"013340","AJS","KOSDAQ",,"2820","35","1.26","2750","2910","2740","1373610","3887846110","91809558420","32556581"
"054620","AP시스템","KOSDAQ",,"4275","130","3.14","4190","4275","4085","143315","594511150","78121444050","18274022"
"004560","BNG스틸","KOSPI",,"8650","160","1.88","8490","8670","8360","137742","1170453480","130431715150","15078811"
"004565","BNG스틸우","KOSPI",,"8370","120","1.45","8200","8660","8100","380","3132400","919461240","109852"
"048550","BT&I","KOSDAQ",,"640","-15","-2.29","655","660","635","28856","18515550","19486930560","30448329"
"001460","BYC","KOSPI",,"125000","1500","1.21","122000","125500","121500","138","17001000","78076875000","624615"
"001465","BYC우","KOSPI",,"55000","0","0.00","55000","55000","55000","6","330000","11846175000","215385"
"065770","C&S마이크로","KOSDAQ",,"3430","290","9.24","3105","3590","3060","1084634","3649368020","41160000000","12000000"
"084680","C&우방랜드","KOSPI",,"1130","-10","-0.88","1130","1170","1020","1365615","1535952400","37149976050","32876085"
"001040","CJ","KOSPI",,"62700","2300","3.81","60400","62700","59000","111955","6833353500","1781786404200","28417646"
"079160","CJ CGV","KOSPI",,"22000","500","2.33","21700","22000","21500","173233","3780691000","453584076000","20617458"
"001049","CJ3우B","KOSPI",,"61300","0","0.00","0","0","0","0","0","32683504900","533173"
"035760","CJ오쇼핑","KOSDAQ",,"77500","2900","3.89","74600","78500","74000","73106","5606354500","853313517500","11010497"
"001045","CJ우","KOSPI",,"22800","0","0.00","22850","23000","22450","3481","79202300","51533084400","2260223"
"037150","CJ인터넷","KOSDAQ",,"13800","150","1.10","13650","13850","13650","115836","1596358500","314657429400","22801263"
"097950","CJ제일제당","KOSPI",,"205500","-2500","-1.20","205500","208500","205000","65565","13505151500","2474352342000","12040644"
"097959","CJ제일제당 3우B","KOSPI",,"211000","0","0.00","0","0","0","0","0","66071063000","313133"
"097955","CJ제일제당 우","KOSPI",,"60700","200","0.33","60500","60700","60100","83","5010100","80575183100","1327433"
"051500","CJ프레시웨이","KOSDAQ",,"14000","-150","-1.06","14150","14200","14000","4802","67713700","150869600000","10776400"
"035710","CL","KOSDAQ",,"1900","-135","-6.63","1825","1900","1825","33555","62938690","23790392100","12521259"
"050470","CMS","KOSDAQ",,"520","-80","-13.33","585","610","510","3164591","1697983270","14345189560","27586903"
"023460","CNH","KOSDAQ",,"1295","10","0.78","1290","1295","1285","4379","5640260","48174000000","37200000"
"056340","CU전자","KOSDAQ",,"1150","-95","-7.63","1240","1250","1140","2261773","2675699620","29829700500","25938870"
"068790","DMS","KOSDAQ",,"7730","30","0.39","7700","7790","7630","38820","299705100","153729779790","19887423"
"065340","DM테크놀로지","KOSDAQ",,"35","0","0.00","35","35","35","2045074","71622965","2211260975","63178885"
"069730","DSR제강","KOSPI",,"4640","70","1.53","4645","4670","4520","124295","570903880","66816000000","14400000"
"009730","DS제강","KOSDAQ",,"2240","45","2.05","2195","2265","2185","103401","230528195","22628820480","10102152"
"017940","E1","KOSPI",,"67800","1400","2.11","66300","67800","66300","8433","567021200","465108000000","6860000"
"037370","EG","KOSDAQ",,"16600","300","1.84","16400","16900","16300","77988","1292436700","124500000000","7500000"
